Fecha,Lugar,Delito,Detenciones
11/06/25,Portugalete,Estafa,1
11/06/25,Santurtzi,Estafa,1
12/06/25,Basauri,Fraude,2
12/06/25,Donostia,Agresión sexual,1
13/06/25,Abadiño,Robo domicilio,1
13/06/25,Getxo,Robo violencia,1
15/06/25,Muxika,Agresión sexual,1
16/06/25,Bilbao,Robo violencia,1
18/06/25,Galdakao,Robo domicilio,1
18/06/25,Irun,Detención ilegal,1
19/06/25,Andoain,Robo domicilio,1
20/06/25,Portugalete,Homicidio tentativa,1
22/06/25,Beasain,Lesiones,1
22/06/25,Bilbao,Robo domicilio,1
23/06/25,Irun,Robo domicilio,1
24/06/25,Basauri,Salud pública,1
24/06/25,Bilbao,Lesiones,1
24/06/25,Hernani,Orden público,1
25/06/25,Gasteiz,Robo violencia,1
25/06/25,Gasteiz,Lesiones,1
26/06/25,Getxo,Hurto,1
26/06/25,Gasteiz,Lesiones,1
27/06/25,Gasteiz,Robo domicilio,1
27/06/25,Basauri,Robo violencia,1
27/06/25,Portugalete,Lesiones,1
28/06/25,Gasteiz,Hurto de uso de vehículo a motor,2
29/06/25,Donostia,Daños,1
30/06/25,Lemoa,Salud pública,1
30/06/25,Renteria,Salud pública,1
30/06/25,Bilbao,Homicidio,1
01/07/25,Donostia,Robo domicilio,2
02/07/25,Zalla,Salud pública,2
02/07/25,Bilbao,Robo violencia,1
04/07/25,Gasteiz,Hurto,2
04/07/25,Gasteiz,Agresión sexual,1
05/07/25,Bilbao,VG,1
06/07/25,Portugalete,Lesiones,1
07/07/25,Gasteiz,Salud pública,1
08/07/25,Pasaia,VG,1
11/07/25,Valdegobia,Salud pública,1
11/07/25,Orio,Exhibicionismo,1
12/07/25,Gasteiz,Lesiones,3
12/07/25,Santurtzi,Lesiones,1
13/07/25,Ordizia,Atentado,1
14/07/25,Hernani,Trata seres humanos,3
14/07/25,Renteria,Lesiones,1
15/07/25,Markina,Salud pública,1
16/07/25,Urduliz,Salud pública,2
17/07/25,Gasteiz,Robo violencia,2
